HIP_number,Name
122,122
154,154
301,301
355,355
443,443
677,alpheratz
746,caph
765,765
910,910
1067,algenib
1168,1168
1170,1170
1366,1366
1473,1473
1562,1562
1599,1599
2021,2021
2072,2072
2081,ankaa
2210,2210
2472,2472
2484,2484
2487,2487
2505,2505
2599,2599
2912,2912
2920,fulu
3031,3031
3092,3092
3179,schedar
3245,3245
3300,3300
3405,3405
3414,3414
3419,diphda
3455,3455
3504,3504
3693,3693
3786,3786
3801,3801
3821,achird
3881,3881
4147,4147
4151,4151
4292,4292
4422,castula
4427,4427
4436,4436
4463,4463
4577,4577
4906,4906
5165,5165
5348,wurren
5364,5364
5372,5372
5434,5434
5447,mirach
5542,5542
5571,5571
5586,5586
5742,5742
5862,5862
5896,5896
6193,6193
6242,6242
6411,adhil
6537,6537
6670,6670
6686,ruchbah
6692,6692
6813,6813
6867,6867
7007,7007
7083,7083
7097,alpherg
7294,7294
7513,titawin
7588,achernar
7607,nembus
7818,7818
7884,7884
7918,7918
7999,7999
8068,8068
8102,8102
8198,torcular
8497,8497
8645,baten kaitos
8796,mothallah
8832,mesarthim
8833,8833
8837,8837
8886,segin
8903,sheratan
8928,8928
9007,9007
9009,9009
9061,9061
9095,9095
9153,9153
9236,9236
9347,9347
9480,9480
9487,alrescha
9505,9505
9598,9598
9640,almach
9677,9677
9884,hamal
9977,9977
10053,10053
10064,10064
10280,10280
10324,10324
10340,10340
10602,10602
10644,10644
10670,10670
11001,11001
11313,11313
11345,11345
11407,11407
11484,11484
11569,iot cas ab
11767,lodestar
11783,11783
11918,11918
12093,12093
12387,12387
12390,12390
12394,12394
12413,12413
12486,12486
12623,12623
12706,kaffaljidhma
12719,12719
12770,12770
12777,12777
12828,12828
12843,12843
12876,12876
13061,lilii borea
13147,13147
13209,bharani
13244,13244
13254,13254
13268,miram
13288,angetenar
13328,13328
13531,13531
13701,azha
13847,acamar
13879,gorgonea secunda
13884,13884
13905,13905
13914,13914
13954,13954
14135,menkar
