HIP_number_a,HIP_number_b,distance
71681,71683,0.0025061067851485106
59173,59196,0.07467007031715922
20885,20894,0.09375212708738628
82514,82545,0.09631728801885447
100027,100064,0.10594251487759618
17531,17573,0.17244724612066273
65378,65477,0.19682651818585137
78933,78990,0.2439761794449948
110997,111043,0.2684671664363191
17608,17702,0.3074661169212027
17499,17573,0.33426787439850764
95241,95294,0.3564362241083725
17499,17531,0.36197812427679255
17499,17608,0.3700267928110953
17702,17847,0.3864128299885418
17573,17608,0.4345763721704629
34981,35037,0.4382281136050407
26176,26207,0.4514073475441939
32249,32362,0.4593909674948722
17573,17702,0.4601963316289069
46853,47006,0.4870915135361198
114855,115033,0.5036736938153552
26176,26366,0.5527014416009578
20635,20711,0.5630513500596505
40702,40888,0.5768752082551862
17531,17608,0.5781621841534528
96757,96837,0.5837658527772959
17499,17702,0.5953948394194748
85696,85927,0.5981018883525121
20713,20894,0.6119907279221504
60965,61174,0.6173678600881304
17531,17702,0.6326371130432034
20713,20885,0.6370919989417956
17608,17847,0.6561769020812168
36188,36284,0.6839090498791673
43109,43234,0.712918170593246
20455,20648,0.7201489931615621
61622,61932,0.7553261640352767
23453,23767,0.7762964377614283
26207,26366,0.7789338142668426
67464,67472,0.7862903502102024
112948,113246,0.7948384858941766
17573,17847,0.8229310564930914
26549,26727,0.8277031450308324
45080,45556,0.8438150948501505
85258,85267,0.8478973175802044
71053,71284,0.880087735421494
40091,40326,0.8935404595690734
115438,115669,0.9017744737226245
21248,21393,0.9088996387331222
15900,16083,0.9133450384464459
74824,75323,0.9154141091862583
78820,78933,0.9215614396688098
87933,87998,0.9549691881985769
37629,37826,0.9611668768978111
68282,68523,0.9631919654368509
17499,17847,0.9802125189531379
17531,17847,0.9917138380266378
28360,28404,0.9918517126494781
16335,16826,1.0072400346752726
99675,99848,1.0218040839726312
93825,94114,1.035645568911633
73273,73334,1.0363570629210275
31592,31700,1.0579138681050961
77070,77257,1.0716404396658321
24244,24327,1.0957985613457857
38070,38170,1.111367133574897
42570,43023,1.1124202376984311
42402,42799,1.1163629849185208
94481,94713,1.1332989314575372
116631,116805,1.1419733734915836
16826,17358,1.1504304485966006
44127,44471,1.1576651734185264
78820,78990,1.1593132787629006
80911,81304,1.1616261737934819
36366,36850,1.167518438276829
19587,19849,1.1787336186523516
29038,29426,1.1962120011208242
82673,83000,1.1980389951630834
