HIP_number_a,HIP_number_b,distance
26220,26221,0.00348098592984058
26549,26551,0.0035341146167063866
26221,26224,0.0036373557045063392
78820,78821,0.003789560384022083
71681,71683,0.004575663395057464
26220,26224,0.005589939300728133
2484,2487,0.007501824584108118
85819,85829,0.017200346855716704
91919,91926,0.057936885530904814
59173,59196,0.07473506118902802
99639,99675,0.09347233238810215
20885,20894,0.09368596113429278
82514,82545,0.09635124533903425
100027,100064,0.10574132373827945
52370,52419,0.10601353182870082
82671,82729,0.10861490578486235
26199,26241,0.13346217984405861
70574,70576,0.15803531990023664
17531,17573,0.172427111828548
65378,65477,0.19682973758524136
58758,58867,0.2071967185119618
61932,62012,0.2295268311806129
78933,78990,0.24370529699794077
110997,111043,0.26857303703895247
72010,72104,0.2722359479074206
57363,57581,0.27374078226644144
20455,20542,0.2938176892943856
4292,4422,0.2983798209173203
17608,17702,0.30747609066969067
35226,35363,0.3292841762125033
17499,17573,0.33427081671006553
95241,95294,0.3561353362381589
17499,17531,0.3619695894739705
17499,17608,0.3700352121463222
42536,42726,0.3735159329663547
50564,50583,0.37472612779484427
10644,10670,0.3808826002069965
17702,17847,0.38641927756168104
35412,35415,0.39575272934831307
52419,52736,0.4212641420936036
35264,35363,0.43159007193465243
17573,17608,0.4345891765872276
34981,35037,0.4382560681857327
27483,27673,0.45010521055684116
52419,52502,0.4513686801700303
26176,26207,0.451400177453465
32249,32362,0.45926260160880045
17573,17702,0.46020981984829956
46853,47006,0.48185750195077626
33092,33302,0.49484125089912717
16147,16244,0.49503985739444584
87073,87294,0.49857784290059326
52370,52736,0.5052731063810886
114855,115033,0.5055794658696031
35226,35264,0.5088583279555184
52502,52736,0.5170840704722611
26221,26241,0.5217157086121731
26224,26241,0.5235138146125079
26220,26241,0.5242699786960382
20885,21029,0.5303403698989579
19740,19860,0.5412403621338787
52370,52502,0.5451412873549797
34899,34922,0.5458748007201526
37648,37677,0.5471087335921289
101589,101769,0.5476009354626962
26220,26237,0.5497991700579262
26224,26237,0.5498582533935462
26176,26366,0.5515850646307566
26221,26237,0.5520231821517899
20894,21029,0.5589568360575635
20635,20711,0.5630525654562409
40702,40888,0.5767838096375917
